FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2009,1601,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2010,1587,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2011,1369,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2012,1839,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2013,1847,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2014,2023,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2015,2384,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2016,2193,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2017,1967,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2018,1798,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2019,2100,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2020,2068,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2021,2301,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2022,2566,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2023,3186,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2024,3277,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2025,2722,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2026,3253,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2010,1587,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2011,1369,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2012,1839,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2013,1847,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2014,2023,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2015,2384,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2016,2193,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2017,1967,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2018,1798,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2019,2100,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2020,2068,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2021,2301,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2022,2566,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2023,3186,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2024,3277,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2025,2722,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09740,Articoli di cartoleria e materiale da disegno,2026,3253,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2016,1034,,
